"","L","US","rep","dem","female","employed","nonhispanic_white","bachelors","above_median_income","zip"
"1623",0,0,0,0,0,1,1,0,0,2145
"1624",8,6,1,0,1,1,0,1,0,44106
"1625",10,10,0,1,0,0,1,1,0,2476
"1626",4,4,0,0,0,1,1,1,0,77840
"1627",5,5,NA,NA,1,1,0,0,0,28034
"1628",0,0,1,0,0,1,1,1,1,60411
"1629",5,7,0,0,1,0,1,1,0,34293
"1630",0,0,1,0,1,1,1,0,0,80840
"1631",1,2,1,0,0,1,1,1,1,7722
"1632",10,10,0,1,1,1,1,1,1,53711
"1633",6,7,0,1,1,1,1,1,0,19810
"1634",10,10,0,1,1,0,1,1,0,85022
"1635",0,0,0,1,1,1,1,0,0,2837
"1636",9,9,0,1,1,1,1,1,1,4401
"1637",0,0,1,0,1,1,1,1,0,27030
"1638",10,10,0,1,1,1,0,0,0,18353
"1639",7,8,0,1,1,0,1,1,0,32605
"1640",8,9,0,1,1,1,1,1,1,65251
"1641",7,7,0,1,0,1,1,0,1,97266
"1642",6,6,0,0,0,1,1,1,1,35216
"1643",6,6,0,0,1,1,1,1,0,76248
"1644",9,9,0,1,1,1,1,1,0,15232
"1645",10,10,0,0,1,1,1,1,0,62301
"1646",3,5,1,0,1,1,1,0,0,15477
"1647",5,5,0,0,1,1,1,0,1,66030
"1648",3,3,1,0,1,1,0,0,1,30083
"1649",8,8,0,0,1,0,1,0,0,36107
"1650",4,4,0,0,1,1,1,0,0,41666
"1651",7,8,0,0,0,1,1,0,0,70452
"1652",0,0,0,0,1,1,0,0,0,90806
"1653",2,4,0,0,1,1,1,0,1,80249
"1654",6,4,0,1,0,1,1,1,0,14225
"1655",2,4,0,1,1,0,0,1,0,33594
"1656",0,0,1,0,0,1,1,1,1,85310
"1657",8,9,0,1,0,0,1,1,1,98103
"1658",0,0,0,0,0,1,1,1,1,2045
"1659",5,5,0,0,1,1,0,1,0,91791
"1660",2,2,1,0,1,0,1,0,0,17701
"1661",10,10,0,1,1,1,1,1,0,40330
"1662",6,8,0,1,1,0,0,1,0,90260
"1663",9,10,0,1,1,1,1,0,0,33569
"1664",6,6,0,1,0,1,1,1,1,17013
"1665",7,7,0,0,0,1,1,1,1,78552
"1666",2,2,1,0,0,1,1,0,1,47201
"1667",7,7,0,1,1,0,1,0,1,21853
"1668",9,9,0,1,1,1,0,1,1,31324
"1669",10,10,0,1,1,0,1,1,0,66030
"1670",9,9,0,0,0,0,1,1,0,91016
"1671",0,0,1,0,0,1,1,0,0,24073
"1672",8,10,0,0,0,1,1,0,0,76205
"1673",4,4,0,0,1,1,1,1,1,95242
"1674",4,3,1,0,1,1,0,1,0,94121
"1675",5,7,0,0,0,1,1,0,0,13031
"1676",6,6,0,1,1,1,1,1,1,15213
"1677",2,2,1,0,0,1,1,0,1,27320
"1678",1,1,1,0,0,1,1,1,0,92373
"1679",3,3,0,1,1,1,1,0,0,40342
"1680",8,8,0,0,0,0,0,1,0,70810
"1681",6,6,1,0,1,1,1,1,0,67579
"1682",5,6,0,1,0,1,0,1,1,36606
"1683",0,0,0,0,0,1,1,1,1,7719
"1684",6,6,0,1,0,1,0,0,0,19311
"1685",8,8,0,1,1,1,1,1,1,13902
